Neutro
Ola
Consulta
Medico
Dor
Saude
Menstruacao
Embriao
Colica_menstrual
Sangramento
Sangue
Utero
Gravidez
Preservativo
Pilula
Prevencao
Exame_ginecologico
Receita
Tratamento
Infeccao_urinaria
Duvida
Medo
Planeamento_familiar
Privacidade
Respeito
Corpo
Ajuda
Obrigada
Adeus
Sim
Nao
